,wage
0,0.002479054465662613
1,0.1920409588385822
2,0.2989496789106764
3,0.9030926838542817
4,0.001874394090360661
5,0.004455161227603133
6,0.013409923622566114
7,0.6367405996059475
8,0.004764885422671976
9,0.08915113793582405
10,0.8226373644075271
11,0.49339069381108075
12,0.009596470797511886
13,0.26448854663440785
14,0.4604394702565044
15,0.8607705476881754
16,0.0012333385261080493
17,0.3390415819580357
18,0.01177670535836807
19,0.7984021179081945
20,0.7069437680080358
21,0.014246207806825353
22,0.014097068213878374
23,0.04656662270557262
24,0.2835655408396794
25,0.9329878844167804
26,0.004009498617096734
27,0.022400126495141087
28,0.23746341583313776
29,0.18869227658349297
30,0.9773706058512811
31,0.051042039424244644
32,0.040627068840653764
33,0.09862101963117834
34,0.02165996486218312
35,0.2516091649722674
36,0.6404386637991075
37,0.04489618875131558
38,0.0019014875750286606
39,0.006976246998910517
40,0.6864481409567444
41,0.46799323982456276
42,0.16856081555337046
43,0.07139069574031214
44,0.0018447690675711718
45,0.4097534602448502
46,0.062124433831970194
47,0.4311737059191064
48,0.013549758874361512
49,0.12387971267042765
50,0.0012333385261080493
51,0.11621053269256765
52,0.0002910829277259366
53,0.8065008190008189
54,0.09651196777859992
55,0.004911387103644832
56,0.25489018622422815
57,0.759863362595641
58,0.9213878984410824
59,0.14723303416739725
60,0.22556260586101506
61,0.07612389545683071
62,0.02653875244710214
63,0.017813654313830564
64,0.01571910797685519
65,0.02390129476326151
66,0.9384222735794345
67,0.0012333385261080493
68,0.06058822227123299
69,0.4300622242734293
70,0.9526022187738609
71,0.5205918251290688
72,0.07657723379315046
73,0.006038822470726286
74,0.25462219966453703
75,0.004529454338662233
76,0.38624160975072286
77,0.1903735238473039
78,0.31574895710449047
79,0.0024095599605961763
80,0.39229756080358186
81,0.02619273997322285
82,0.24536068383141824
83,0.9450183832743947
84,0.26957466959637316
85,0.01191378585651374
86,0.00025966291806557465
87,0.4358386411844131
88,0.007383812733493222
89,0.9408463784311917
90,0.09075324872240026
91,0.017672438478969682
92,0.9102027266545524
93,0.1006149324640308
94,0.04442566647877112
95,0.002105335417587677
96,0.004709485599564773
97,0.10748746540669045
98,0.3236489327523096
99,0.001382953120960171
100,0.278439321920962
101,0.011390117305203543
102,0.005015522675389964
103,0.006067786146850699
104,0.02025678608181108
105,0.007148978427234466
106,0.3071659748011973
107,0.008440863917744618
108,0.00029500016722243356
109,0.0009962120052719264
110,0.0010402921623674283
111,0.18027309915850617
112,0.3139971526451584
113,0.001735982174617443
114,0.2652673161092752
115,0.004347815358985794
116,0.3273107835142172
117,0.0008723971105919023
118,0.0580963294142548
119,0.10596155360943972
120,0.3264510223827286
121,0.0008188647013976038
122,0.0036109833595471025
123,0.026854592326340115
124,0.016982085727355174
125,0.015010334910782998
126,0.7870804566047099
127,0.023760966812003147
128,0.2511252114310037
129,0.8687925910425843
130,0.3773847101257466
131,0.002216596267462135
132,0.002129261680735726
133,0.7698466317118685
134,0.39846434218172444
135,0.022351062640025867
136,0.410284248266029
137,0.1422005971294134
138,0.1295481027559404
139,0.022576645143094487
140,0.7376462518550772
141,0.0013682615278808703
142,0.9765069924165654
143,0.8598320505165968
144,0.08797281033273632
145,0.1932787985574985
146,0.06817374158522259
147,0.28668576466500334
148,0.9846309963102552
149,0.0048584698282376736
150,0.004764375778128202
151,0.07225730672545733
152,0.09037950189538665
153,0.006245208605560747
154,0.8801643912665087
155,0.00549155406743077
156,0.011217519048326362
157,0.014090274685133462
158,0.01612513035391425
159,0.1219181766635649
160,0.07361283601019969
161,0.2821050208245343
162,0.09696545059409929
163,0.08381140780287133
164,0.8217135524153489
165,0.33609423186530757
166,0.5399724756712202
167,0.36505560664620706
168,0.0028582854142323467
169,0.09586212324817334
170,0.6730348177238971
171,0.14333389420746823
172,0.008391631973512571
173,0.48699584265724577
174,0.06964961817058075
175,0.4806061149231686
176,0.09534774858494076
177,0.33221109812787697
178,0.39305512938043297
179,0.6240440132960308
180,0.12520202933065824
181,0.9708686157560666
182,0.14689730045518753
183,0.15833094098397846
184,0.026286303059935026
185,0.2150539602922238
186,0.09683045439974747
187,0.009582715814395975
188,0.12326951943711274
189,0.005517297769802498
190,0.8601876097689009
191,0.279571758734324
192,0.024706508519007086
193,0.06480650037599482
194,0.03763301490908243
195,0.04152003774290921
196,0.06802716568533555
197,0.7917936687739305
198,0.0005820138788343517
199,0.08520430668386152
200,0.45529027309015496
201,0.41118190025951756
202,0.21665007942454165
203,0.1180224394874665
204,0.5049377316518017
205,0.6586501417309125
206,0.15129363582742722
207,0.25017749046881044
208,0.7524964460244175
209,0.3926215299713054
210,0.0035183871198207575
211,0.007498811154975206
212,0.2148999916675603
213,0.388652025545273
214,0.01158413847982466
215,0.30677967629224157
216,0.0036225813937942612
217,0.0007936083470724891
218,0.05497952307902941
219,0.018724022164254613
220,0.6486293221975751
221,0.000705317443086315
222,0.05865835321358151
223,0.3639949970455989
224,0.7236301017210327
225,0.3450922315061458
226,0.9693757748197802
227,0.49235751450227966
228,0.009121425361712836
229,0.2812762545023749
230,0.005140326776175651
231,0.8119476331013811
232,0.3743190877695455
233,0.31698578465396143
234,0.09193977708069141
235,0.04477003634634498
236,0.3972656490047417
237,0.00404558810426547
238,0.003957499258060914
239,0.1737565019433112
240,0.00044803979092662396
241,0.4194228983651808
242,0.0003914211665549978
243,0.19025247900056064
244,0.0013087712838356688
245,0.3294487692439611
246,0.14730575410381427
247,0.13787687854761252
248,0.3616286373965864
249,0.3042869954725351
250,0.0006157299783045387
251,0.07718284628767542
252,0.22903495218802697
253,0.2944333273270168
254,0.08399594889828688
255,0.0037073193092014953
256,0.29499306977925954
257,0.004868678090336131
258,0.00619816070578771
259,0.2838502240177466
260,0.4313598217665048
261,0.055072913088754394
262,0.016893091674084395
263,0.030377154005625427
264,0.03507186266088462
265,0.17645825488917746
266,0.28584036800241197
267,0.14359936377239102
268,0.001874394090360661
269,0.09416873480686537
270,0.3326582182076335
271,0.23195836103415468
272,0.3439806545265105
273,0.14974757865083096
274,0.2622606625098176
275,0.0003914211665549978
276,0.0448313245461577
277,0.00025823514180836
278,0.9755107687385142
279,0.028662774713925913
280,0.222080823160755
281,0.13136702896674599
282,0.0007182309329951461
283,0.01840255735054998
284,0.6078407518544263
285,0.03148706613997281
286,0.005047251238041311
287,0.44585432373485073
288,0.3100400575669009
289,0.020173418955746505
290,0.5422787042730441
291,0.1539852848457526
292,0.177493128282271
293,0.01029928867098924
294,0.06982316293620253
295,0.003608948436077831
296,0.04406345493617413
297,0.004117944027492149
298,0.8129027499534391
299,0.4018237815644547
300,0.3309838590550668
301,0.026626971838243682
302,0.01347358292333031
303,0.02217369002158907
304,0.00029500016722243356
305,0.29335072777928733
306,0.3109157540307909
307,0.020199242615039505
308,0.7708710475775852
309,0.3424807561871132
310,0.619955339291531
311,0.0022338974778304587
312,0.26419040690736784
313,0.5395440906838492
314,0.33572215077929213
315,0.1259248900707505
316,0.006996883643416101
317,0.001791599467328147
318,0.6749507548502826
319,0.19775358981230265
320,0.1012334916301618
321,0.7033633132828259
322,0.2878283538533492
323,0.04549679844626123
324,0.06958988560800326
325,0.6773597828212958
326,0.10364539091667894
327,0.0004693220888073311
328,0.20326851279924524
329,0.9808685391959434
330,0.0002610281601562561
331,0.008902815444859633
332,0.32492187214451507
333,0.02681222988225562
334,0.9321045219111981
335,0.002081545576843731
336,0.048082673668888055
337,0.006403617020377663
338,0.29219387833513777
339,0.3720574598116609
340,0.14878959523037116
341,0.07536560399695508
342,0.025387081099620065
343,0.7325375805530072
344,0.9407455766789168
345,0.02487187009617711
346,0.9002309759535538
347,0.8586733940156434
348,0.0033690155576337083
349,0.05497952307902941
350,0.018848508549957222
351,0.00031086867052308227
352,0.014514235676329633
353,0.1436007799791827
354,0.39478574142536704
355,0.6915900275115441
356,0.28498012839201997
357,0.9895584637988263
358,0.06059985642890069
359,0.04431819201864605
360,0.1612253596900752
361,0.16843812107466005
362,0.08130719837332977
363,0.2773132420423064
364,0.3987218794094464
365,0.6091968869645166
366,0.5052948951707726
367,0.47958117346366497
368,0.6359436509697394
369,0.01891965828491942
370,0.19587195969773352
371,0.023446743038593766
372,0.07763254321085483
373,0.6509398816985453
374,0.13083336608827695
375,0.45860284602884005
376,0.5977957291036209
377,0.012558410624596143
378,0.22275343809335416
379,0.004374923533985274
380,0.4783520033501964
381,0.03809440584463176
382,0.6710375814570998
383,0.02083589233334965
384,0.1488675239938964
385,0.1183613518380458
386,0.052400477508624504
387,0.012271168348142963
388,0.3484537112402558
389,0.85282170274502
390,0.3218881482474858
391,0.028522600074506268
392,0.22453902988067848
393,0.002216596267462135
394,0.06721603624329439
395,0.18954639771602552
396,0.7335572748375584
397,0.14126184767610794
398,0.6851117793616592
399,0.7434603951231548
400,0.08870434178103997
401,0.004744081702673386
402,7.706962845488609e-05
403,0.0891346329284402
404,0.3964677878581066
405,0.05867846920094331
406,0.03821233988412649
407,0.006522258551166015
408,0.006932393483621632
409,0.6005281558516954
410,0.02288452320626022
411,0.3109157540307909
412,0.0020897735906730366
413,0.006999809452660641
414,0.05638499735514114
415,0.21897106814545148
416,0.07631410032000162
417,0.5620914909775292
418,0.985802865588549
419,0.32400084833672693
420,0.10555905033632117
421,0.0460761011028019
422,0.011089156670640308
423,0.057569500977077366
424,0.009986354570834938
425,0.10170071085977309
426,0.009223258910809698
427,0.005176375222556026
428,0.029175408097913007
429,0.002319130414880513
430,0.37885530695842523
431,0.0012333385261080493
432,0.3271248383656545
433,0.004843523043190903
434,0.0017699541816836204
435,0.7151377995929872
436,0.5161354133925807
437,0.03480968736267481
438,0.5415263459703457
439,0.9212754195404492
440,0.20880584112395556
441,0.24967006341421896
442,0.015110751791223231
443,0.5367562468999602
444,0.0008188647013976038
445,0.7931234774452854
446,0.5460649286047238
447,0.0261922476153409
448,0.01531024575888127
449,0.005632214264547654
450,0.26681060133278034
451,0.15006639585513862
452,0.739477392004888
453,0.09822710453137273
454,0.01140735243235819
455,0.005951640345155302
456,0.02151907874981031
457,0.6487007906407638
458,0.005169378476551279
459,0.2822865927689081
460,0.21602500827930643
461,0.20662180121590468
462,0.6631134084678852
463,0.1309055261096268
464,0.206697004917571
465,0.034623311074185266
466,0.7955928772270089
467,0.30677967629224157
468,0.2229005900371864
469,0.002105335417587677
470,0.0017699541816836204
471,0.1623412793802352
472,0.13944887885814813
473,0.29288773518733846
474,0.002354115618930893
475,0.06960680557333095
476,0.17281804611840743
477,0.0056650911143896684
478,0.16686117282798169
479,0.03925602000914308
480,0.6108594019413275
481,0.19213024616345425
482,0.0006157299783045387
483,0.9517207540029146
484,0.10538669784871607
485,0.05259010548813189
486,0.005719449133494979
